Month,state,median_listing_price,active_listing_count,new_listing_count,price_increased_count,average_listing_price,total_listing_count
20-Aug,north carolina,344064,25366,12256,2644,475462.4785,48554
20-Aug,massachusetts,645000,12071,8028,232,1127347.633,16767
20-Aug,district of columbia,679900,1477,1008,28,1027176.532,1867
20-Aug,west virginia,174900,4800,1568,104,252178.1419,7519
20-Aug,oregon,465000,9233,5876,2428,628416.352,21710
20-Aug,new york,550000,68474,21620,1000,1158912.833,110422
20-Jul,hawaii,632500,6836,1636,48,1147468.725,7775
20-Jul,georgia,326725,46320,21796,2764,448549.5174,87214
20-Jul,michigan,255000,25881,13544,452,358861.5009,42434
20-Jul,wyoming,290000,2850,976,28,682180.2214,3931
20-Jul,pennsylvania,259450,26803,13172,768,375614.3247,41679
20-Jul,nebraska,258950,4142,2036,144,308114.9867,9049
20-Jul,alabama,258000,15101,5840,596,339818.2407,22267
20-Jul,indiana,237763,10753,6252,292,306326.4666,19939
20-Jul,connecticut,398450,17214,6176,232,807416.5213,17384
20-Jul,tennessee,325145,17567,9012,856,464830.2892,33271
20-Jul,virginia,359925,21444,11336,1112,513182.1059,35096
20-Jul,new jersey,443995,31222,16476,652,642746.9868,40047
20-Jul,new mexico,282000,5517,2092,100,421944.7473,9553
20-Jul,new hampshire,392450,3164,1904,96,519021.2486,5664
20-Jul,delaware,342900,2787,1192,300,458972.0512,3454
20-Jul,minnesota,309900,16173,9156,300,404195.592,29097
20-Jul,mississippi,220000,7285,2328,156,282571.6189,11709
20-Jul,texas,310904,78743,35868,3892,453109.1095,136802
20-Jul,florida,344532,113761,35836,5256,701341.5262,185625
20-Jul,louisiana,249700,13558,4236,344,331677.2691,21592
20-Jul,oklahoma,239245,10082,4172,360,319148.031,14364
20-Jul,new york,527000,66158,22888,920,1088928.751,101880
20-Jul,washington,499973,13367,10116,980,700460.258,28587
20-Jul,arizona,389500,12691,7708,936,629397.259,31221
20-Jul,iowa,223700,11460,4088,488,260162.099,20107
20-Jul,rhode island,424450,1971,1328,20,741839.4041,4794
20-Jul,wisconsin,275000,13741,6424,172,359596.4492,24300
20-Jul,illinois,259700,43016,20620,484,381068.2595,77038
20-Jul,massachusetts,619900,12470,8356,240,993461.5315,17100
